ID,Cluster,pred_y,actual_y
2866789,0,1,0
2866797,0,1,0
2866798,0,1,0
2866799,0,1,0
2868169,0,1,0
2868170,0,1,0
2868172,0,1,0
2868179,0,1,0
2868180,0,1,0
2869548,0,1,0
2869554,0,1,0
2869558,0,1,0
2869562,0,1,0
2869563,0,1,0
2869564,0,1,0
2869565,0,1,0
2869570,0,1,0
2870928,0,1,0
2870934,0,1,0
2870935,0,1,0
2870936,0,1,0
2870941,0,1,0
2870944,0,1,0
2870945,0,1,0
2870946,0,1,0
2872309,0,1,0
2872310,0,1,0
2872318,0,1,0
2872319,0,1,0
2872320,0,1,0
2872324,0,1,0
2872326,0,1,0
2872327,0,1,0
2872328,0,1,0
2872329,0,1,0
2873690,0,1,0
2873691,0,1,0
2873697,0,1,0
2873702,0,1,0
2873703,0,1,0
2873708,0,1,0
2873709,0,1,0
2873710,0,1,0
2873711,0,1,0
2875073,0,1,0
2875076,0,1,0
2875079,0,1,0
2875080,0,1,0
2875088,0,1,0
2875089,0,1,0
2875090,0,1,0
2875091,0,1,0
2875092,0,1,0
2876455,0,1,0
2876458,0,1,0
2876459,0,1,0
2876460,0,1,0
2876461,0,1,0
2876462,0,1,0
2876467,0,1,0
2876468,0,1,0
2876471,0,1,0
2876473,0,1,0
2876474,0,1,0
2876475,0,1,0
2877836,0,1,0
2877837,0,1,0
2877841,0,1,0
2877860,0,1,0
2879218,0,1,0
2879224,0,1,0
2879225,0,1,0
2879228,0,1,0
2879241,0,1,0
2879244,0,1,0
2880607,0,1,0
2880612,0,1,0
2880616,0,1,0
2880619,0,1,0
2880620,0,1,0
2880621,0,1,0
2880625,0,1,0
2880626,0,1,0
2880627,0,1,0
2880628,0,1,0
2880629,0,1,0
2881987,0,1,0
2881995,0,1,0
2881996,0,1,0
2882000,0,1,0
2882001,0,1,0
2882002,0,1,0
2882003,0,1,0
2882007,0,1,0
2882008,0,1,0
2882009,0,1,0
2882010,0,1,0
2882011,0,1,0
2883365,0,1,0
2883377,0,1,0
2883378,0,1,0
2883379,0,1,0
2883381,0,1,0
2883382,0,1,0
2883383,0,1,0
2883384,0,1,0
2883385,0,1,0
2883386,0,1,0
2883387,0,1,0
2883391,0,1,0
2883392,0,1,0
2883393,0,1,0
2883394,0,1,0
2884758,0,1,0
2884759,0,1,0
2884760,0,1,0
2884761,0,1,0
2884764,0,1,0
2884765,0,1,0
2884766,0,1,0
2884767,0,1,0
2884768,0,1,0
2884769,0,1,0
2884770,0,1,0
2884772,0,1,0
2884773,0,1,0
2884774,0,1,0
2884775,0,1,0
2886140,0,1,0
2886143,0,1,0
2886144,0,1,0
2886146,0,1,0
2886147,0,1,0
2886148,0,1,0
2886149,0,1,0
2886150,0,1,0
2886151,0,1,0
2886152,0,1,0
2886153,0,1,0
2886154,0,1,0
2886155,0,1,0
2886156,0,1,0
2886157,0,1,0
2886161,0,1,0
2887527,0,1,0
2887528,0,1,0
2887529,0,1,0
2887530,0,1,0
2887531,0,1,0
2887532,0,1,0
2887533,0,1,0
2887534,0,1,0
2887535,0,1,0
2887536,0,1,0
2887537,0,1,0
2887538,0,1,0
2887544,0,1,0
2887545,0,1,0
2888904,0,1,0
2888910,0,1,0
2888911,0,1,0
2888912,0,1,0
2888913,0,1,0
2888914,0,1,0
2888915,0,1,0
2888916,0,1,0
2888917,0,1,0
2888918,0,1,0
2888919,0,1,0
2888920,0,1,0
2888927,0,1,0
2890293,0,1,0
2890294,0,1,0
2890295,0,1,0
2890296,0,1,0
2890297,0,1,0
2890298,0,1,0
2890299,0,1,0
2890300,0,1,0
2890301,0,1,0
2890308,0,1,0
2891674,0,1,0
2891675,0,1,0
2891676,0,1,0
2891677,0,1,0
2891678,0,1,0
2891679,0,1,0
2891680,0,1,0
2891681,0,1,0
2891682,0,1,0
2891683,0,1,0
2891690,0,1,0
2891691,0,1,0
2893056,0,1,0
2893057,0,1,0
2893058,0,1,0
2893059,0,1,0
2893060,0,1,0
2893061,0,1,0
2893062,0,1,0
2893063,0,1,0
2893064,0,1,0
2894440,0,1,0
2894441,0,1,0
2894442,0,1,0
2894443,0,1,0
2894444,0,1,0
2894445,0,1,0
2894446,0,1,0
2894447,0,1,0
2895816,0,1,0
2895822,0,1,0
2895823,0,1,0
2895824,0,1,0
2895825,0,1,0
2895826,0,1,0
2895827,0,1,0
2895828,0,1,0
2897199,0,1,0
2897204,0,1,0
2897205,0,1,0
2897206,0,1,0
2897207,0,1,0
2897208,0,1,0
2897209,0,1,0
2897210,0,1,0
2897211,0,1,0
2898585,0,1,0
2898586,0,1,0
2898587,0,1,0
2898588,0,1,0
2898589,0,1,0
2898590,0,1,0
2898591,0,1,0
2898592,0,1,0
2898593,0,1,0
2899968,0,1,0
2899969,0,1,0
2899970,0,1,0
2899974,0,1,0
2899975,0,1,0
2901345,0,1,0
2901346,0,1,0
2901350,0,1,0
2901351,0,1,0
2901356,0,1,0
2901357,0,1,0
2902726,0,1,0
2902732,0,1,0
2902733,0,1,0
2902737,0,1,0
2902738,0,1,0
2902739,0,1,0
2902740,0,1,0
2902741,0,1,0
2904111,0,1,0
2904118,0,1,0
2904119,0,1,0
2904120,0,1,0
2904121,0,1,0
2904122,0,1,0
2904123,0,1,0
2904126,0,1,0
2904127,0,1,0
2905500,0,1,0
2905501,0,1,0
2905502,0,1,0
2905503,0,1,0
2905504,0,1,0
2905505,0,1,0
2905508,0,1,0
2905509,0,1,0
2905510,0,1,0
2906881,0,1,0
2906882,0,1,0
2906883,0,1,0
2906884,0,1,0
2906885,0,1,0
2906886,0,1,0
2906889,0,1,0
2906890,0,1,0
2906891,0,1,0
2906892,0,1,0
2906893,0,1,0
2906894,0,1,0
2908264,0,1,0
2908265,0,1,0
2908266,0,1,0
2908267,0,1,0
2908268,0,1,0
2908269,0,1,0
2908271,0,1,0
2908272,0,1,0
2908273,0,1,0
2908274,0,1,0
2908275,0,1,0
2908276,0,1,0
2909647,0,1,0
2909648,0,1,0
2909649,0,1,0
2909650,0,1,0
2909652,0,1,0
2909653,0,1,0
2909654,0,1,0
2909656,0,1,0
2909657,0,1,0
2911030,0,1,0
2911031,0,1,0
2911032,0,1,0
2911033,0,1,0
2911034,0,1,0
2911035,0,1,0
2911036,0,1,0
2911037,0,1,0
2911038,0,1,0
2911039,0,1,0
2912413,0,1,0
2912415,0,1,0
2912416,0,1,0
2912417,0,1,0
2912418,0,1,0
2912419,0,1,0
2912420,0,1,0
2912423,0,1,0
2913796,0,1,0
2913797,0,1,0
