ID,Cluster,pred_y,actual_y
2866790,0,1,0
2866791,0,1,0
2866795,0,1,0
2868165,0,1,0
2868166,0,1,0
2868171,0,1,0
2868175,0,1,0
2868176,0,1,0
2869547,0,1,0
2869552,0,1,0
2869553,0,1,0
2869558,0,1,0
2870927,0,1,0
2870929,0,1,0
2870930,0,1,0
2870931,0,1,0
2872308,0,1,0
2872311,0,1,0
2872312,0,1,0
2872313,0,1,0
2872314,0,1,0
2873689,0,1,0
2873692,0,1,0
2873693,0,1,0
2873694,0,1,0
2873695,0,1,0
2873696,0,1,0
2875075,0,1,0
2875077,0,1,0
2875078,0,1,0
2876471,0,1,0
2877833,0,1,0
2877846,0,1,0
2877847,0,1,0
2879214,0,1,0
2879215,0,1,0
2879216,0,1,0
2879217,0,1,0
2879227,0,1,0
2879228,0,1,0
2880598,0,1,0
2880599,0,1,0
2880635,0,1,0
2881977,0,1,0
2881978,0,1,0
2881979,0,1,0
2881980,0,1,0
2881981,0,1,0
2882014,0,1,0
2882015,0,1,0
2882016,0,1,0
2882017,0,1,0
2883358,0,1,0
2883359,0,1,0
2883360,0,1,0
2883361,0,1,0
2883362,0,1,0
2883363,0,1,0
2883372,0,1,0
2883373,0,1,0
2883397,0,1,0
2883398,0,1,0
2884741,0,1,0
2884742,0,1,0
2884743,0,1,0
2884746,0,1,0
2884747,0,1,0
2884748,0,1,0
2884749,0,1,0
2884753,0,1,0
2884755,0,1,0
2884756,0,1,0
2884764,0,1,0
2884765,0,1,0
2884778,0,1,0
2884779,0,1,0
2884780,0,1,0
2886122,0,1,0
2886123,0,1,0
2886124,0,1,0
2886125,0,1,0
2886127,0,1,0
2886131,0,1,0
2886136,0,1,0
2886137,0,1,0
2886138,0,1,0
2886147,0,1,0
2886161,0,1,0
2886162,0,1,0
2887504,0,1,0
2887505,0,1,0
2887506,0,1,0
2887511,0,1,0
2887512,0,1,0
2887513,0,1,0
2887514,0,1,0
2887518,0,1,0
2887519,0,1,0
2887520,0,1,0
2887523,0,1,0
2888888,0,1,0
2888890,0,1,0
2888893,0,1,0
2888894,0,1,0
2888895,0,1,0
2888898,0,1,0
2888901,0,1,0
2888903,0,1,0
2888905,0,1,0
2888906,0,1,0
2890284,0,1,0
2890287,0,1,0
2890288,0,1,0
2891665,0,1,0
2891666,0,1,0
2891667,0,1,0
2891668,0,1,0
2891669,0,1,0
2891670,0,1,0
2891671,0,1,0
2891672,0,1,0
2893047,0,1,0
2893048,0,1,0
2893049,0,1,0
2893050,0,1,0
2893051,0,1,0
2893052,0,1,0
2894428,0,1,0
2894429,0,1,0
2894430,0,1,0
2894431,0,1,0
2894432,0,1,0
2894433,0,1,0
2894434,0,1,0
2894435,0,1,0
2894436,0,1,0
2894437,0,1,0
2895809,0,1,0
2895811,0,1,0
2895812,0,1,0
2895813,0,1,0
2895817,0,1,0
2897191,0,1,0
2897192,0,1,0
2897195,0,1,0
2897200,0,1,0
2898576,0,1,0
2898577,0,1,0
2899959,0,1,0
2899964,0,1,0
2902724,0,1,0
2902725,0,1,0
2902728,0,1,0
2906877,0,1,0
2908260,0,1,0
2908261,0,1,0
2908262,0,1,0
2909642,0,1,0
2909645,0,1,0
2911026,0,1,0
2911027,0,1,0
2911028,0,1,0
2911033,0,1,0
2912407,0,1,0
2912408,0,1,0
2912410,0,1,0
2912413,0,1,0
2913789,0,1,0
2913790,0,1,0
2913791,0,1,0
2913792,0,1,0
2913793,0,1,0
2913796,0,1,0
2915172,0,1,0
2915173,0,1,0
2915174,0,1,0
2916554,0,1,0
2916555,0,1,0
2916556,0,1,0
2916557,0,1,0
2916558,0,1,0
2916559,0,1,0
2917933,0,1,0
2917936,0,1,0
2917937,0,1,0
2917947,0,1,0
2917948,0,1,0
2919319,0,1,0
2919320,0,1,0
2919321,0,1,0
2919330,0,1,0
2920697,0,1,0
2920699,0,1,0
2920700,0,1,0
2920701,0,1,0
2920702,0,1,0
2920703,0,1,0
2920704,0,1,0
2920714,0,1,0
2922042,0,1,0
2922079,0,1,0
2922080,0,1,0
2922081,0,1,0
2922082,0,1,0
2922083,0,1,0
2922084,0,1,0
2922085,0,1,0
2922086,0,1,0
2922087,0,1,0
2922089,0,1,0
2922092,0,1,0
2922093,0,1,0
2922094,0,1,0
2922096,0,1,0
2922097,0,1,0
2923421,0,1,0
2923429,0,1,0
2923430,0,1,0
2923431,0,1,0
2923460,0,1,0
2923461,0,1,0
2923462,0,1,0
2923465,0,1,0
2923466,0,1,0
2923467,0,1,0
2923468,0,1,0
2923469,0,1,0
2923470,0,1,0
2923471,0,1,0
2923472,0,1,0
2923473,0,1,0
2923475,0,1,0
2923476,0,1,0
2923478,0,1,0
2923480,0,1,0
2923481,0,1,0
2924802,0,1,0
2924811,0,1,0
2924812,0,1,0
2924813,0,1,0
2924814,0,1,0
2924821,0,1,0
2924842,0,1,0
2924843,0,1,0
2924847,0,1,0
2924848,0,1,0
2924849,0,1,0
2924852,0,1,0
2924853,0,1,0
2924854,0,1,0
2924855,0,1,0
2924856,0,1,0
2924857,0,1,0
2924858,0,1,0
2924859,0,1,0
2924860,0,1,0
2924862,0,1,0
2926181,0,1,0
