Health Facility Code,Health Facility Code Short,Facility Name,Old Health Facility Name 1,Old Health Facility Name 2,Old Health Facility Name 3,Facility Major Type,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Alternate Email Address,Official Website,Service Capability,Bed Capacity,Licensing Status,License Validity Date,Latitude,Longitude,Geocoding Status
DOH000000000000005,5,BAGONG POOK DIST. III HEALTH CENTER,DEL REMEDIO HEALTH CENTER,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION IV-A (CALABARZON),400000000,QUEZON,431200000,CITY OF LUCENA (CAPITAL),431200000,,,4301,,,,,,,,0, ,,,,Error
DOH000000000000010,10,URBIZTONDO RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,LUNA STREET, ,REGION I (ILOCOS REGION),100000000,PANGASINAN,105500000,URBIZTONDO,105545000,POBLACION,105545018,2414,+63 755943919, , , , , ,,0, ,,,,Error
DOH000000000000011,11,DILASAG RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,SANTIAGO STREET,,REGION III (CENTRAL LUZON),300000000,AURORA,307700000,DILASAG,307703000,MASAGANA (POB.),307703009,3205,,,,,,,,0, ,,,,Error
DOH000000000000013,13,MURPHY SUPER HEALTH CENTER and LYING IN CLINIC, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,2ND FLOOR 18TH AVENUE, ,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,SAN ROQUE,1381300102, , , , , , , ,,0, ,,,,Error
DOH000000000000014,14,TOBIAS FORNIER RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,corner Rizal and Placer Street,,REGION VI (WESTERN VISAYAS),600000000,ANTIQUE,600600000,TOBIAS FORNIER,600607000,POBLACION NORTE,600607037,5716,,,,mhotobiasfornier2021@gmail.com,tobiasfornierhrh2022@gmail.com,,,0, ,,,,Error
DOH000000000000015,15,CALAPE PRIMARY CARE FACILITY,CALAPE RURAL HEALTH UNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,CALAPE,701210000,DESAMPARADOS (POB.),701210013,6328,(038) 5079323, , , , , ,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,,,,Error
DOH000000000000016,16,DAGOHOY RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,DAGOHOY,701217000,POBLACION,701217011,6322,+63 385240036, , ,kimchaii14@hayoo.com, , ,,0, ,,,,Error
DOH000000000000017,17,RURAL HEALTH UNIT OF CARAGA,CARAGA RURAL HEALTH UNIT,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,NATIONAL HIGHWAY,,REGION XI (DAVAO REGION),1100000000,DAVAO ORIENTAL,1102500000,CARAGA,1102504000,POBLACION,1102504010,8203,,,,rhucaraga@gmail.com,,,,0, ,,9.03112455,125.5235014,Geocoded
DOH000000000000018,18,MATAG-OB RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VIII (EASTERN VISAYAS),800000000,LEYTE,803700000,MATAG-OB,803733000,SAN GUILLERMO,803733021,6532,535542074, , , , , ,,0, ,,,,Error
DOH000000000000021,21,BERNARDO HEALTH CENTER, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,ERMIN GARCIA STREET, ,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,PINAGKAISAHAN,1381300083, , , , ,bernardohealthcenter@yahoo.com, , ,,0, ,,14.6279988,121.0466538,Geocoded
