"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000000195","195","ABORLAN MUNICIPAL HEALTH OFFICE","ABORLAN RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","ABORLAN","1705301000","RAMON MAGSAYSAY","1705301014","5302","","","","mho.lguaborlan@gmail.com","","","","0"," ",""
"DOH000000000003433","3433","ABRA DE ILOG RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","VENTURANZA STREET, MUNICIPAL COMPOUND, ZONE 2","","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","ABRA DE ILOG","170510100","POBLACION","1705101004","5108","","","","abradeilog.mho@gmail.com","jpmbrmt@gmail.com","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000002375","2375","AGUTAYA RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","AGUTAYA","1705302000","BANGCAL (POB.)","1705302008","5320","","","","rhuagutaya@yahoo.com","","","","0"," ",""
"DOH000000000001415","1415","ALCANTARA RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","NATIONAL ROAD","","MIMAROPA REGION","170000000","ROMBLON","170590000","ALCANTARA","170590100","POBLACION","1705901006","5509","","","","alcantararhu01@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000003854","3854","ARACELI RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PUROK 3","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","ARACELI","1705303000","POBLACION","1705303015","5311","","","","maricrissaclet@yahoo.co","rhuaraceli@gmail.com","","","0"," ",""
"DOH000000000002353","2353","BACO MUNICIPAL HEALTH OFFICE","BACO RURAL HEALTH UNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","BACO","1705201000","POBLACION","1705201029","5201"," "," "," ","mho.baco@gmail.com","bacorhu@yahoo.com"," ","","0"," ",""
"DOH000000000000086","86","BALABAC MUNICIPAL HEALTH OFFICE","bALABAC rURAL hEALTH uNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","Poblacion 1","Municipal Health Office","MIMAROPA REGION","1700000000","PALAWAN","1705300000","BALABAC","1705304000","POBLACION I","1705304024","5307","n/a","n/a","n/a","dennisponcemd@yahoo.com","n/a"," ","","0"," ",""
"DOH000000000000087","87","BANSUD RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","BANSUD","1705202000","POBLACION","1705202008","5210","+63 432987164"," ","+63 432987022","mhobansud@yahoo.com"," "," ","","0"," ",""
"DOH000000000003609","3609","BANTON RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","BANTON","1705902000","POBLACION","1705902010","5515","","","","edmundfababeir@yahoo.com","","","","0"," ",""
"DOH000000000005897","5897","BATARAZA RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","BATARAZA","1705305000","MARANGAS (POB.)","1705305010","5306","","","","","","","","0"," ",""
"DOH000000000023420","23420","BOAC RURAL HEALTH UNIT II","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","MARINDUQUE","1704000000","BOAC (CAPITAL)","1704001000","BANTAY","1704001012","4900","","","","julieanmalubag@gmail.com","mhoboac@yahoo.com","","","0"," ",""
"DOH000000000000827","827","BONGABONG MUNICIPAL HEALTH OFFICE","BONGABONG RURAL HEALTH UNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","LAPU-LAPU STREET"," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","BONGABONG","1705203000","APLAYA","1705203033","5211","+63 432835058"," "," ","bongabonghealth.com.ph"," "," ","","0"," ",""
"DOH000000000003726","3726","BROOKE'S POINT MUNICIPAL HEALTH OFFICE"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","BROOKE'S POINT","1705306000","PANGOBILIAN","1705306015","5305"," "," "," "," "," "," ","","0"," ",""
"DOH000000000003936","3936","BUENAVISTA RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","170000000","MARINDUQUE","170400000","BUENAVISTA","170400200","BARANGAY I (POB.)","1704002015","4904","","+63427040108","","buena.rhu@gmail.com","","","","0"," ",""
"DOH000000000003857","3857","BULALACAO MUNICIPAL HEALTH OFFICE"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","170000000","ORIENTAL MINDORO","170520000","BULALACAO","170520400","POBLACION","1705204012","5214"," "," "," ","mho_bulalacao@yahoo.com"," "," ","","0"," ",""
"DOH000000000000088","88","BUSUANGA RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","BUSUANGA","1705307000","SALVACION","1705307012","5317"," "," "," ","lmprincesa@yahoo.com"," "," ","","0"," ",""
