fid,neighbours
2865422,"2866804,2866805"
2866789,"2866790,2868170,2868171"
2866790,"2866789,2866791"
2866791,"2866790"
2866798,"2866799"
2866799,"2866798,2866800"
2866800,"2866799"
2866802,"2866803"
2866803,"2866802,2866804"
2866804,"2865422,2866803,2866805"
2866805,"2865422,2866804,2866806"
2866806,"2866805"
2868165,"2868166,2869547,2869548"
2868166,"2868165,2868167,2869548,2869549"
2868167,"2868166,2869549,2869550"
2868168,"2869551"
2868169,"2868170,2869551,2869552"
2868170,"2866789,2868169,2868171,2869552,2869553"
2868171,"2866789,2868170,2868172,2869553,2869554"
2868172,"2868171,2868173,2869554,2869555"
2868173,"2868172,2868174,2869555,2869556"
2868174,"2868173,2869556,2869557"
2868175,"2869557,2869558"
2868176,"2868177,2869558,2869559"
2868177,"2868176,2868178,2869559,2869560"
2868178,"2868177,2868179,2869560,2869561"
2868179,"2868178,2868180,2869561,2869562"
2868180,"2868179,2868181,2869562,2869563"
2868181,"2868180,2868182,2869563,2869564"
2868182,"2868181,2868183,2869564,2869565"
2868183,"2868182,2868184,2869565,2869566"
2868184,"2868183,2868185,2869566,2869567"
2868185,"2868184,2868186,2869567,2869568"
2868186,"2868185,2868187,2869568,2869569"
2868187,"2868186,2868188,2869569,2869570"
2868188,"2868187,2868189,2869570,2869571"
2868189,"2868188,2868190,2869571"
2868190,"2868189"
2869544,"2869545"
2869545,"2869544,2869546"
2869546,"2869545,2869547"
2869547,"2868165,2869546,2869548"
2869548,"2868165,2868166,2869547,2869549"
2869549,"2868166,2868167,2869548,2869550"
2869550,"2868167,2869549,2869551"
2869551,"2868168,2868169,2869550,2869552"
2869552,"2868169,2868170,2869551,2869553"
2869553,"2868170,2868171,2869552,2869554"
2869554,"2868171,2868172,2869553,2869555"
2869555,"2868172,2868173,2869554,2869556"
2869556,"2868173,2868174,2869555,2869557"
2869557,"2868174,2868175,2869556,2869558"
2869558,"2868175,2868176,2869557,2869559"
2869559,"2868176,2868177,2869558,2869560"
2869560,"2868177,2868178,2869559,2869561"
2869561,"2868178,2868179,2869560,2869562"
2869562,"2868179,2868180,2869561,2869563"
2869563,"2868180,2868181,2869562,2869564"
2869564,"2868181,2868182,2869563,2869565"
2869565,"2868182,2868183,2869564,2869566"
2869566,"2868183,2868184,2869565,2869567"
2869567,"2868184,2868185,2869566,2869568"
2869568,"2868185,2868186,2869567,2869569"
2869569,"2868186,2868187,2869568,2869570"
2869570,"2868187,2868188,2869569,2869571"
2869571,"2868188,2868189,2869570"
2870925,"2870926,2872307,2872308"
2870926,"2870925,2870927,2872308,2872309"
2870927,"2870926,2870928,2872309,2872310"
2870928,"2870927,2870929,2872310,2872311"
2870929,"2870928,2870930,2872311,2872312"
2870930,"2870929,2870931,2872312,2872313"
2870931,"2870930,2870932,2872313,2872314"
2870932,"2870931,2870933,2872314,2872315"
2870933,"2870932,2870934,2872315,2872316"
2870934,"2870933,2870935,2872316,2872317"
2870935,"2870934,2870936,2872317,2872318"
2870936,"2870935,2870937,2872318,2872319"
2870937,"2870936,2870938,2872319,2872320"
2870938,"2870937,2870939,2872320,2872321"
2870939,"2870938,2870940,2872321,2872322"
2870940,"2870939,2870941,2872322,2872323"
2870941,"2870940,2870942,2872323,2872324"
2870942,"2870941,2870943,2872324,2872325"
2870943,"2870942,2870944,2872325,2872326"
2870944,"2870943,2870945,2872326,2872327"
2870945,"2870944,2870946,2872327,2872328"
