ID,Neighbors
2865422,"2865422, 2866804"
2866789,"2866789, 2866790"
2866790,"2866790, 2866791"
2866791,2866791
2866795,2866795
2866796,2866796
2866797,2866797
2866798,"2866798, 2866798"
2866799,"2866799, 2866798, 2866798"
2866800,"2866800, 2866800, 2866799"
2866802,"2866802, 2866803"
2866803,"2866803, 2866802, 2866803, 2866804"
2866804,2866804
2866805,"2866805, 2865422, 2866804, 2866806"
2866806,"2866806, 2866805, 2866806"
2866807,2866807
2868165,"2868165, 2868166, 2869548, 2869547, 2868165, 2869548, 2869547, 2869547"
2868166,"2868166, 2868167, 2869549, 2869548, 2868165, 2869548"
2868169,"2868169, 2869551, 2868169, 2869552, 2869551, 2868170, 2868170"
2868170,"2868170, 2869553, 2868170, 2868171, 2869553"
2868171,"2868171, 2869553, 2868172"
2868172,2868172
2868175,"2868175, 2869557, 2869558, 2868175, 2869557, 2869558"
2868176,"2868176, 2869558, 2869559, 2868177, 2869558"
2868179,"2868179, 2869562, 2868178, 2869561"
2868180,"2868180, 2869562, 2869563, 2869562, 2868180, 2868179, 2869562"
2868181,"2868181, 2869564, 2868181, 2869564, 2869563, 2868180, 2869563, 2868180"
2868182,"2868182, 2868181, 2869565, 2869564, 2868181, 2869564"
2868183,"2868183, 2869566, 2869565, 2868184, 2868183, 2868182, 2869566, 2869565, 2868184, 2869566, 2868184"
2868184,"2868184, 2868183, 2869566, 2868184, 2868183, 2869566, 2868184, 2869567, 2869566, 2868185, 2868184, 2869567, 2868185"
2868185,"2868185, 2869568, 2868184, 2869567, 2868186, 2868185, 2869568"
2868186,"2868186, 2868185, 2869569, 2869568, 2868187, 2869569, 2869569, 2868187"
2868187,"2868187, 2869570, 2869569, 2869570, 2869569, 2868188, 2868187, 2869570"
2868188,"2868188, 2868187, 2869570, 2869571, 2868189"
2868189,2868189
2868190,"2868190, 2868189"
2869545,"2869545, 2869544"
2869546,"2869546, 2869546, 2869545"
2869547,"2869547, 2868165, 2869548, 2869547, 2869547, 2869546, 2869546"
2869548,"2869548, 2869547, 2868165, 2869548, 2869547, 2869547"
2869550,"2869550, 2869549, 2869550, 2869551, 2869551"
2869552,"2869552, 2869551, 2868170, 2869553, 2868170, 2869553"
2869553,"2869553, 2869554, 2868170, 2868171, 2869553"
2869554,"2869554, 2869553, 2869555, 2869554, 2868171, 2869553, 2868172"
2869558,"2869558, 2869559, 2869558, 2868176, 2868175, 2869557, 2869558, 2868175, 2869557, 2869559, 2869558"
2869562,"2869562, 2869561, 2869563, 2869562, 2868180, 2868179, 2869562, 2869561"
2869563,"2869563, 2868180, 2869562, 2869563, 2869562, 2868180, 2869562"
2869564,"2869564, 2868182, 2868181, 2869565, 2869564, 2868181, 2869564, 2869563, 2869563"
2869565,"2869565, 2869564, 2868183, 2868182, 2869566, 2869565, 2869564, 2869564, 2869566"
2869566,"2869566, 2869565, 2868184, 2868183, 2869566, 2869565, 2868184, 2869567, 2869566, 2868184, 2869567"
2869567,"2869567, 2869566, 2868185, 2869568, 2868184, 2869567, 2868185, 2869568"
2869568,"2869568, 2869567, 2868186, 2868185, 2869569, 2869568, 2869569, 2869569"
2869569,"2869569, 2869568, 2868186, 2869569, 2869568, 2868187, 2869570, 2869569, 2869570, 2869569, 2868187, 2869570"
