ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
2941561,Balaytigui,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,2.593221485614777,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,41.3882468615644,0.39274045088736
2942942,Balaytigui,Nasugbu,Batangas,0.36344,0.211141,1.604326,0.593618,0.850622,1.762145777543386,0.547602389,1.379736423,1.061817203,0.0,0,0,1,2971948,41.2715502279888,0.43514947212887123
2942943,Balaytigui,Nasugbu,Batangas,0.36344,0.211141,1.604326,0.593618,0.850622,2.920526188611984,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,41.391749508733,0.39274045088736
2949831,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073000000001,1.042646,1.574223000000001,1.299989970830771,0.818003779,1.093190034,0.907144563,1.0,0,0,0,2971948,22.5165650777174,0.5224896198233209
2951212,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073000000002,1.042645999999999,1.574223000000002,2.26605546612271,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,21.748555108477,0.5701289733922111
2951213,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663501999999999,0.252763000000001,2.920073000000002,1.042646000000002,1.574222999999998,2.171317739821062,0.818003779,1.093190034,0.907144563,1.0,0,1,1,2971948,21.3788931993264,0.6295029690613211
2951224,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,1.23373806476593,0.56738605,1.355278015,0.956775958,0.0,0,0,0,2971948,22.85615400566,0.4017854006055771
2951225,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,1.068918253694262,0.56738605,1.355278015,0.956775958,0.0,0,0,0,2971948,24.2455620198778,0.4017854006055771
2951227,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219,1.661098,1.946236,1.623322265488761,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,25.9027120980882,0.5196225108256428
2951228,Calayo,Nasugbu,Batangas,1.162797,0.556658,4.692424,1.995723,2.333842,1.728408349411828,0.565027638,1.360594654,1.046446899,0.0,0,0,0,2971948,27.8660432047997,0.39393047029720396
2951229,Balaytigui,Nasugbu,Batangas,0.518671999999999,0.148765999999999,1.953059999999995,0.681510000000002,1.041363999999996,11.398752392554767,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,28.7831408824921,0.39274045088736
2951230,Balaytigui,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.0,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,30.3212456523535,0.5
2951231,Balaytigui,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.0,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,30.2933453383612,0.5
2952594,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,5.415040850639344,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,20.2970857613207,0.404138921023228
2952595,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502000000001,0.252763,2.920073000000002,1.042646000000001,1.574223000000002,3.956403725970108,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,20.5805396921535,0.5701289733922111
2952605,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.845602489532308,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.957204825474,0.5196225108256428
2952606,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.459263599266971,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,21.7204889855291,0.5196225108256428
2952607,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219,1.661098,1.946236,0.509921451658011,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,22.7864849483238,0.5196225108256428
2952608,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219000000001,1.661097999999999,1.946236,1.801908964770181,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,23.4370164322698,0.5675088411891945
2952609,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.609087247114915,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,24.9271904432753,0.5675088411891945
2952610,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219,1.661098,1.946236,0.792799316346645,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,25.6265686852764,0.5196225108256428
2952611,Calayo,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,1.9028684425354,0.565027638,1.360594654,1.046446899,1.0,0,0,0,2971948,27.100839681637,0.509767908156409
2952612,Balaytigui,Nasugbu,Batangas,0.522427830903791,0.151144379008747,1.969032967930037,0.689173049562685,1.048900314868797,9.691008340927862,0.547602389,1.379736423,1.061817203,0.0,0,0,1,2971948,28.0799240000666,0.43514947212887123
2952613,Balaytigui,Nasugbu,Batangas,0.518672,0.148766,1.953059999999999,0.68151,1.041364000000001,8.49573670493232,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,28.7001073865721,0.39274045088736
2953976,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073000000001,1.042646,1.574223000000001,3.485507818272239,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,19.2809199786475,0.5701289733922111
2953987,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219,1.661098,1.946236,0.556060426247617,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.4716948101641,0.5196225108256428
2953988,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.202112029083598,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,21.1727049281938,0.5196225108256428
2953989,Papaya,Nasugbu,Batangas,1.150501000000002,0.298400999999999,3.753219000000001,1.661098000000002,1.946235999999999,1.349031349912024,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,22.1435331691698,0.5675088411891945
2953990,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219000000001,1.661098,1.946236,0.973681951752146,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,23.0117023761023,0.5196225108256428
2953991,Papaya,Nasugbu,Batangas,1.143782027027026,0.301339702702703,3.744546270270271,1.654000513513514,1.940708648648648,0.997854253792675,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,24.292659728899,0.5196225108256428
2953992,Calayo,Nasugbu,Batangas,1.157041897058824,0.553359654411764,4.66462776470588,1.982548764705881,2.320780573529415,6.330824928337268,0.565027638,1.360594654,1.046446899,1.0,0,0,1,2971948,25.0359708072226,0.5583928809039715
2953993,Balaytigui,Nasugbu,Batangas,0.617505994708993,0.211352603174603,2.373385693121688,0.883161730158732,1.239680730158724,3.461016191530597,0.547602389,1.379736423,1.061817203,1.0,0,0,1,2971948,26.7401784264248,0.5569596730149925
2953994,Balaytigui,Nasugbu,Batangas,0.516649255319152,0.148748638297872,1.944541574468106,0.680197702127662,1.036404617021269,6.086384219319924,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,27.742286497926,0.39274045088736
2954004,Luyahan,Lian,Batangas,0.341413,0.278922,1.694873,0.609666,0.871823,3.135285545278478,0.441061686,1.593830109,1.084020529,0.0,0,0,0,2985780,36.7451649834318,0.38954663485657015
2954005,Luyahan,Lian,Batangas,0.0,0.0,0.0,0.0,0.0,8.797543059833632,0.441061686,1.593830109,1.084020529,0.0,0,0,0,2985780,37.0586793529353,0.38954663485657015
2955358,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,1.507623278177701,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,18.3038116969437,0.404138921023228
2955359,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,2.214566588401794,0.818003779,1.093190034,0.907144563,1.0,0,0,0,2971948,17.5773841023764,0.5224896198233209
2955360,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073,1.042646,1.574223,1.696022477000952,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,16.5318894785269,0.404138921023228
2955367,Sapang I,Ternate,Cavite,0.0,0.0,0.0,0.0,0.0,0.32058197259903,0.548473561,1.389226278,0.939100396,0.0,0,0,0,2971948,16.4434876964448,0.40320161087789863
2955368,Patungan,Maragondon,Cavite,0.0,0.0,0.0,0.0,0.0,2.309714540839195,0.175822888,1.409887314,0.958695523,0.0,0,0,0,2971948,17.0910508630041,0.41300616521805894
2955369,Patungan,Maragondon,Cavite,0.0,0.0,0.0,0.0,0.0,1.761665567755699,0.175822888,1.409887314,0.958695523,0.0,0,1,0,2971948,18.7101340208875,0.4832282326694769
2955370,Patungan,Maragondon,Cavite,1.568956432692308,0.55729883653846,5.805945634615374,2.55783650961539,2.876521288461538,1.048183801387428,0.175822888,1.409887314,0.958695523,1.0,0,0,1,2971948,19.6654766398885,0.5795734331827668
2955371,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.249988649483327,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.5093723413487,0.5196225108256428
