ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,general_me,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"2941561",Balaytigui,Nasugbu,Batangas,,,,,,"2.593221485614777","0.547602389","1.379736423","1.061817203",,"0","0","0","2971948","41.3882468615644",0,0,0,0,0,0
"2942942",Balaytigui,Nasugbu,Batangas,"0.36344","0.211141","1.604326","0.593618","0.850622","1.762145777543386","0.547602389","1.379736423","1.061817203",,"0","0","1","2971948","41.2715502279888",0.00136356479901688,0.000792164965961982,0.0121292210394433,0.00601915710914471,0.003191388445051,0.00222715333717478
"2942943",Balaytigui,Nasugbu,Batangas,"0.36344","0.211141","1.604326","0.593618","0.850622","2.920526188611984","0.547602389","1.379736423","1.061817203",,"0","0","0","2971948","41.391749508733",4.72472,2.744833,42.027466,20.856238,11.058086,7.717034
"2949831",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663502","0.252763","2.920073000000001","1.042646","1.574223000000001","1.299989970830771","0.818003779","1.093190034","0.907144563","1.0","0","0","0","2971948","22.5165650777174",17.251052,6.571838,151.930272,75.921898,40.929798,27.108796
"2951212",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663502","0.252763","2.920073000000002","1.042645999999999","1.574223000000002","2.26605546612271","0.818003779","1.093190034","0.907144563","1.0","0","0","1","2971948","21.748555108477",38.483116,14.660254,338.921376,169.364234,91.3049340000001,60.473468
"2951213",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663501999999999","0.252763000000001","2.920073000000002","1.042646000000002","1.574222999999998","2.171317739821062","0.818003779","1.093190034","0.907144563","1.0","0","1","1","2971948","21.3788931993264",85.5917579999999,32.6064270000001,753.807888000002,376.689417,203.074767,134.501334
"2951224",Papaya,Nasugbu,Batangas,,,,,,"1.23373806476593","0.56738605","1.355278015","0.956775958",,"0","0","0","2971948","22.85615400566",0,0,0,0,0,0
"2951225",Papaya,Nasugbu,Batangas,,,,,,"1.068918253694262","0.56738605","1.355278015","0.956775958",,"0","0","0","2971948","24.2455620198778",0,0,0,0,0,0
"2951227",Papaya,Nasugbu,Batangas,"1.150501","0.298401","3.753219","1.661098","1.946236","1.623322265488761","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","25.9027120980882",1.15050099995396,0.298400999988058,8.0932929996761,3.75321899984979,1.94623599992211,1.66109799993352
"2951228",Calayo,Nasugbu,Batangas,"1.162797","0.556658","4.692424","1.995723","2.333842","1.728408349411828","0.565027638","1.360594654","1.046446899",,"0","0","0","2971948","27.8660432047997",2.325594,1.113316,19.29749,9.384848,4.667684,3.991446
