fid,RHU_Presence,Road_Presence,POI_Presence,buildability_landcov,Distance_to_Nearest_RHU_km,Nearest_RHU,Neighbors3,admin_boun,bg_name,popden_chi,cm_name,drought_value,popden_eld,flood_probability_value,popden_all,pr_name,rain_intensity_value,popden_wom,popden_w_1,popden_you,HCFAI
2865422,0,0,0,1.0,29.847533600035867,2877844,"2865422, 2866804",bg-2303,Ilio-ilio (Iliw-iliw),0.0,Burgos,1.166831299,0.0,0.934143909,0.0,Pangasinan,1.178482135,0.0,0.0,0.0,0.5
2866789,0,0,0,1.0,11.042224031198351,2877844,"2866789, 2866790",bg-1910,Macaboboni,2.535103,Agno,1.180280558,1.229901,0.734486955,18.858487,Pangasinan,1.099466392,9.052743,4.451071,3.355037,0.5135166455006536
2866790,0,0,0,0.0,11.392127279125944,2877844,"2866790, 2866791",bg-1910,Macaboboni,0.0,Agno,1.180280558,0.0,0.734486955,0.0,Pangasinan,1.099466392,0.0,0.0,0.0,0.5
2866791,0,0,0,0.0,12.12282163104372,2877844,2866791,bg-1910,Macaboboni,0.0,Agno,1.180280558,0.0,0.734486955,0.0,Pangasinan,1.099466392,0.0,0.0,0.0,0.5
2866795,0,0,1,0.0,15.836810750001856,2877844,2866795,bg-1903,Aloleng,1.627151,Agno,1.221724545,1.063497,1.089601628,13.017208,Pangasinan,1.154037078,6.380984,2.98311,2.217392,0.4203946050813214
2866796,0,0,0,0.0,16.68526201572184,2877844,2866796,bg-2404,Magsaysay,0.0,Agno,1.119130326,0.0,0.904484395,0.0,Pangasinan,0.270884752,0.0,0.0,0.0,0.5
2866797,0,0,0,1.0,18.265360067616104,2877844,2866797,bg-2273,Tupa,0.0,Agno,1.080508884,0.0,0.838775211,0.0,Pangasinan,1.100792476,0.0,0.0,0.0,0.5
2866798,0,0,0,1.0,20.012033264233963,2877844,"2866798, 2866798",bg-1909,Gayusan,1.30989,Agno,1.233991516,1.670883,0.853294888,12.315025000000002,Pangasinan,1.143231201,5.930603,2.599151,1.835908,0.5001708406683562
2866799,0,0,0,1.0,21.28411003419197,2877844,"2866799, 2866798, 2866798",bg-1909,Gayusan,0.0,Agno,1.233991516,0.0,0.853294888,0.0,Pangasinan,1.143231201,0.0,0.0,0.0,0.5
2866800,0,0,0,1.0,22.080393470968332,2877844,"2866800, 2866800, 2866799",bg-1905,Baruan,0.0,Agno,1.198836075,0.0,0.926651032,0.0,Pangasinan,1.173055376,0.0,0.0,0.0,0.5
2866802,0,0,0,1.0,25.573662460697804,2877844,"2866802, 2866803",bg-1905,Baruan,0.662236,Agno,1.198836075,0.761394,0.926651032,6.88088,Pangasinan,1.173055376,3.399714,1.55112,1.193441,0.5011446193777
2866803,0,0,0,1.0,26.94411067330749,2877844,"2866803, 2866802, 2866803, 2866804",bg-1905,Baruan,0.662236,Agno,1.198836075,0.761394000000001,0.926651032,6.880880000000004,Pangasinan,1.173055376,3.399713999999999,1.551119999999998,1.193441000000003,0.5011446193777
2866804,0,0,0,1.0,28.81811865993873,2877844,2866804,bg-2303,Ilio-ilio (Iliw-iliw),0.0,Burgos,1.166831299,0.0,0.934143909,0.0,Pangasinan,1.178482135,0.0,0.0,0.0,0.5
2866805,0,0,0,1.0,30.22148723349506,2877844,"2866805, 2865422, 2866804, 2866806",bg-2303,Ilio-ilio (Iliw-iliw),1.299293,Burgos,1.166831299,1.279505999999999,0.934143909,12.386150000000004,Pangasinan,1.178482135,5.691824999999996,2.545822,2.103931000000002,0.5050482397692172
2866806,0,0,0,1.0,31.49120285855016,2877844,"2866806, 2866805, 2866806",bg-2303,Ilio-ilio (Iliw-iliw),1.156328405405404,Burgos,1.166831299,1.127293648648649,0.934143909,10.927314054054047,Pangasinan,1.178482135,5.043705594594594,2.252553594594595,1.834179000000001,0.5050482397692172
2866807,0,0,0,1.0,33.03842151597457,2877844,2866807,bg-2384,Tambobong,0.543623,Dasol,1.165183332,0.474955,0.899873165,4.67516,Pangasinan,1.021503448,2.266051,0.995689,0.678099,0.5107358236792172
2868165,0,0,0,0.0,11.842269228459068,2877844,"2868165, 2868166, 2869548, 2869547, 2868165, 2869548, 2869547, 2869547",bg-2060,Centro Toma,0.0,Bani,1.152045543,0.0,0.706414798,0.0,Pangasinan,1.092625713,0.0,0.0,0.0,0.5
2868166,0,0,0,0.0,11.034251883299426,2877844,"2868166, 2868167, 2869549, 2869548, 2868165, 2869548",bg-2060,Centro Toma,0.0,Bani,1.152045543,0.0,0.706414798,0.0,Pangasinan,1.092625713,0.0,0.0,0.0,0.5
2868167,0,1,0,1.0,10.272117585780522,2877844,"2868167, 2869550, 2869549, 2869550",bg-2060,Centro Toma,16.85522214285714,Bani,1.152045543,11.945157714285717,0.706414798,131.79506542857143,Pangasinan,1.092625713,62.423443428571424,29.69487285714285,20.810370571428567,0.5886134257975087
2868168,0,0,0,0.0,9.459500227478358,2877844,"2868168, 2869551, 2869551",bg-2063,Dacap Sur,0.0,Bani,1.159697305,0.0,0.717827816,0.0,Pangasinan,1.107051611,0.0,0.0,0.0,0.5
2868169,0,0,0,1.0,9.675167343417218,2877844,"2868169, 2869551, 2868169, 2869552, 2869551, 2868170, 2868170",bg-2063,Dacap Sur,3.537688,Bani,1.159697305,1.973817,0.717827816,31.095214,Pangasinan,1.107051611,15.13766,7.439773,5.982185,0.5167970980805259
2868170,0,0,0,1.0,9.973239756068995,2877844,"2868170, 2869553, 2868170, 2868171, 2869553",bg-2074,San Simon,1.567991125,Bani,1.178718628,1.1775105,0.695192921,14.065624375000002,Pangasinan,1.106414223,6.870814375,3.206047,2.49832175,0.5151717455990455
2868171,0,0,0,0.0,10.302617443905987,2877844,"2868171, 2869553, 2868172",bg-1910,Macaboboni,2.535103,Agno,1.180280558,1.229900999999999,0.734486955,18.858487000000007,Pangasinan,1.099466392,9.052742999999994,4.451071,3.355037,0.39687667319584097
2868172,0,0,0,1.0,10.818129284160417,2877844,2868172,bg-1910,Macaboboni,2.535103,Agno,1.180280558,1.229900999999999,0.734486955,18.858487000000007,Pangasinan,1.099466392,9.052742999999996,4.451071,3.355037000000001,0.5135166455006536
2868173,0,0,1,1.0,11.25137004616172,2877844,"2868173, 2869556, 2869555, 2869555, 2868173, 2869555, 2868172",bg-1906,Boboy,2.536255980769233,Agno,1.214560048,1.298859173076922,1.103491785,19.3642818076923,Pangasinan,1.127814849,9.313584923076926,4.538022826923076,3.50889517307692,0.5423264469606441
2868174,0,0,1,1.0,12.01003718749246,2877844,"2868174, 2868173, 2869556, 2868173",bg-1906,Boboy,2.5391,Agno,1.214560048,1.468956,1.103491785,20.611909,Pangasinan,1.127814849,9.956995,4.752504,3.888412,0.5423264469606441
2868175,0,0,1,0.0,12.82753215142586,2877844,"2868175, 2869557, 2869558, 2868175, 2869557, 2869558",bg-1903,Aloleng,2.5391,Agno,1.221724545,1.468956,1.089601628,20.611909000000004,Pangasinan,1.154037078,9.956995,4.752504,3.888412000000001,0.4203946050813214
