ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
2971819,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.018627629748413,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,48.477582833075225,0.5631860646260484
2971820,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.019323631391737,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,49.70015736291742,0.5631860646260484
2971821,Santa Rosa,Santa Fe,Nueva Vizcaya,0.117419690140845,0.104101704225352,0.736891746478873,0.370015169014085,0.392882985915493,0.030706805899405,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,50.744799842061305,0.5631860646260484
2973198,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.177868703770083,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,45.20687346208348,0.572306369566322
2973199,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.042856861262408,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,46.230097933460186,0.572306369566322
2973200,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.014489238259985,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,47.31774325517171,0.5631860646260484
2973201,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.013589747029418,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,48.37272330960244,0.5631860646260484
2973202,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.012205524467425,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,49.365439419032754,0.5631860646260484
2973203,Santa Rosa,Santa Fe,Nueva Vizcaya,0.613366,0.667487,3.896678,1.767937,2.09266,0.036357632457649,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,50.178053630438725,0.5631860646260484
2974578,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.131528915651143,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,42.30810870977269,0.572306369566322
2974579,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.132269751024309,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,42.98131470508726,0.572306369566322
2974580,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.16633972148913,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,43.949963241689744,0.572306369566322
2974581,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.138624053883379,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,44.86246573200079,0.572306369566322
2974582,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.00918693685445,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,45.77892403504063,0.5631860646260484
2974583,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.010555269749602,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,46.73569374516676,0.5631860646260484
2974584,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.019144934506686,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,47.7303507625534,0.5631860646260484
2974585,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.012304456995076,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,48.76057657865325,0.5631860646260484
2974586,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.038174137071805,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,49.4558631890698,0.5631860646260484
2975959,Ansipsip,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.096276972442865,0.115191026,0.556996187,0.62651693,1.0,0,0,0,3010498,40.37398336667586,0.5773314594302957
2975960,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.163510808401043,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,41.5296540507089,0.572306369566322
2975961,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.178058591464327,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,42.339050941469054,0.572306369566322
2975962,Lawigan,Kayapa,Nueva Vizcaya,2.392347,2.354373,14.581923,7.139067,7.48083,0.189029757295632,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,43.214524367826186,0.5723063695661165
2975963,Lawigan,Kayapa,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.109382053670642,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,44.13435316300024,0.572306369566322
2975964,Santa Rosa,Santa Fe,Nueva Vizcaya,0.079848,0.061421,0.497514,0.264112,0.264112,0.021255805690695,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,45.09582323469432,0.5631860646260484
2975965,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.101214631586724,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,46.09632901746411,0.5631860646260484
2975966,Santa Rosa,Santa Fe,Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0,0.052184601100938,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,47.13338473295507,0.5631860646260484
