ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
2971819,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,48.477582833075225,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2971820,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,49.70015736291742,1.517112,1.166999,19.722437,9.452766,5.018128,5.018128,0.5631860646260483
2971821,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,50.744799842061305,8.33679800000001,7.39122100000001,109.550918,52.319314,27.894692,26.271077,0.5629887394005053
2973198,Lawigan,Kayapa,Nueva Vizcaya,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,45.20687346208348,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2973199,Lawigan,Kayapa,Nueva Vizcaya,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,46.230097933460186,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2973200,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,47.31774325517171,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2973201,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,48.37272330960244,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2973202,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,49.365439419032754,0.638784,0.491368,8.304184,3.980112,2.112896,2.112896,0.5631860646260484
2973203,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,50.178053630438725,2.453464,2.669948,32.83312,15.586712,8.37064,7.071748,0.563186064592873
2974578,Lawigan,Kayapa,Nueva Vizcaya,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,42.30810870977269,0.0,0.0,0.0,0.0,0.0,0.0,0.5
