,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HubDist,HCFAI,Cluster
3,2561920,Agutayan,Balabac,Palawan,5.248662,0.761903,14.941755,5.164006,6.814795,0.865716431762131,0.488369281,0.933480399,0.894437341,0.0,0,0,0,2561920,0.109651551637239,,0.4037486,0.0
10,2564678,Catagupan,Balabac,Palawan,4.966476,1.299369,13.152498,4.850976,6.06372,1.084833240509033,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2564678,0.0416756357243436,,0.40231484,0.0
11,2564679,Catagupan,Balabac,Palawan,4.966476,1.299369,13.152498,4.850976000000002,6.063720000000002,0.848242880344391,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2564679,0.0418653893214682,,0.40231484,0.0
12,2564680,Catagupan,Balabac,Palawan,4.966476,1.299369,13.152498,4.850976,6.06372,1.592487347936167,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2564680,0.163800317629543,,0.40231484,0.0
17,2564685,Agutayan,Balabac,Palawan,5.248662,0.761903,14.941755,5.164006,6.814795000000004,0.426188871101781,0.488369281,0.933480399,0.894437341,0.0,0,0,0,2564685,0.0456133092017212,,0.4037486,0.0
19,2566058,Catagupan,Balabac,Palawan,4.966476,1.299369,13.152498,4.850976,6.06372,2.005698645193326,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2566058,0.114844984826842,,0.40231484,0.0
23,2566062,Catagupan,Balabac,Palawan,4.966476,1.299369,13.152498,4.850976,6.06372,0.261223736105205,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2566062,0.0,,0.40231484,0.0
24,2566063,Catagupan,Balabac,Palawan,4.966476,1.299368999999999,13.152498,4.850976000000002,6.063719999999996,0.325820494762489,0.502208183,0.925575843,0.917858161,0.0,0,0,1,2566063,1.76559626190646e-13,,0.44638878,0.0
26,2566065,Catagupan,Balabac,Palawan,5.248662,0.761903,14.941755,5.164006,6.814795,0.361934140991809,0.502208183,0.925575843,0.917858161,0.0,0,0,0,2566065,0.0142839235387523,,0.40231484,0.0
27,2566066,Agutayan,Balabac,Palawan,5.248662,0.761903,14.941755,5.164006,6.814795000000002,0.141873376630247,0.488369281,0.933480399,0.894437341,0.0,0,0,0,2566066,0.0,,0.4037486,0.0
28,2566067,Agutayan,Balabac,Palawan,5.248662,0.761903,14.941755,5.164006,6.814795000000002,0.128630119235181,0.488369281,0.933480399,0.894437341,0.0,0,0,1,2566067,0.0,,0.4480526,0.0
29,2566068,Agutayan,Balabac,Palawan,3.4325545,0.767493,10.1590995,3.8294785,4.7427235,0.179068092095981,0.488369281,0.933480399,0.894437341,0.0,0,0,0,2566068,3.5346443249114697e-13,,0.4037486,0.0
30,2566069,Rabor,Balabac,Palawan,1.616447,0.773083,5.376444,2.494951,2.670652,0.51531663635927,0.480262569,0.933982849,0.845035207,0.0,0,0,0,2566069,0.0630361179595597,,0.40696302,0.0
