ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,population_children_under5,population_elder60plus,population_women,population_youth,population_reproductive_women,popden_all_total_population,Neighbors,HCFAI
2865422,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.934143909,1.178482135,0.7403578,1.0,0,0,0,2877844,29.847533600035867,0.0,0.0,0.0,0.0,0.0,406448.7907705307,"2944105, 2944105, 2945487, 2944106, 2945487, 2944104, 2944104, 2944104, 2945486, 2944104, 2945486, 2944105, 2945486, 2944106, 2944105, 2944105, 2944104, 2944105, 2944105, 2945487, 2945486, 2944105, 2944104, 2945486, 2944105, 2944106, 2945487, 2944105, 29",0.5000102059714914
2866789,Macaboboni,Agno,Pangasinan,0.734486955,1.099466392,0.749863323,1.0,0,0,0,2877844,11.042224031198351,14927.853222895548,7242.223139135754,53306.717229475566,19756.0019823194,26209.954616907555,1697446.0379322767,"2944105, 2945487, 2944106, 2945487, 2944107, 2945488, 2944105, 2944106, 2944107, 2945488, 2944105, 2944105, 2944105, 2944105, 2945487, 2944105, 2944105, 2944106, 2945487, 2944107, 2945488, 2944105, 2944105, 2944106, 2945487, 2945488, 2945487, 2945488, 29",0.5000156973525114
2866790,Macaboboni,Agno,Pangasinan,0.734486955,1.099466392,0.749863323,0.0,0,0,0,2877844,11.392127279125944,0.0,0.0,0.0,0.0,0.0,2819701.3538460727,"2942723, 2942723, 2941342, 2942722, 2941341, 2942722, 2941341, 2941342, 2942724, 2941342, 2941341, 2942724, 2942723, 2942723, 2942722, 2942722, 2942723, 2942722, 2942722, 2942722, 2942724, 2941342, 2942724, 2942723, 2941342",0.49993547414950407
2866791,Macaboboni,Agno,Pangasinan,0.734486955,1.099466392,0.749863323,0.0,0,0,0,2877844,12.12282163104372,0.0,0.0,0.0,0.0,0.0,4244968.696689248,"2956481, 2956481, 2956481, 2956481, 2956481, 2957864, 2956482, 2956481, 2956480, 2956481, 2956481, 2956480, 2956481, 2956482, 2956481, 2956481, 2956482, 2956481, 2957864, 2957863, 2956481, 2956482, 2956481, 2957863, 2956481, 2956480, 2957863, 2957864, 29",0.4999597224071587
2866795,Aloleng,Agno,Pangasinan,1.089601628,1.154037078,0.779154662,0.0,0,0,0,2877844,15.836810750001856,105878.71557,69201.74979,415210.62888,144285.69744,194110.9677,749384.5593409538,"2956481, 2956481, 2956481, 2956481, 2957864, 2956482, 2956481, 2956480, 2956481, 2956481, 2956480, 2956481, 2956482, 2956481, 2956481, 2956482, 2956481, 2957864, 2957863, 2956481, 2956482, 2956481, 2957863, 2956481, 2956480, 2957863, 2957864, 2956482, 29",0.4998354311080554
2866796,Magsaysay,Agno,Pangasinan,0.700862531,1.151205487,0.800627175,0.0,0,0,0,2877844,16.68526201572184,0.0,0.0,0.0,0.0,0.0,4021.2502026060256,"2956481, 2956481, 2956481, 2957864, 2956482, 2956481, 2956480, 2956481, 2956481, 2956480, 2956481, 2956482, 2956481, 2956481, 2956482, 2956481, 2957864, 2957863, 2956481, 2956482, 2956481, 2957863, 2956481, 2956480, 2957863, 2957864, 2956482, 2957864, 29",0.46773687211178505
2866797,Tupa,Agno,Pangasinan,0.952087449,1.147432923,0.793311238,1.0,0,0,0,2877844,18.265360067616104,0.0,0.0,0.0,0.0,0.0,146967.34999895096,"2971765, 2971764, 2971766, 2970382, 2970383, 2971764",0.49997075769910576
2866798,Gayusan,Agno,Pangasinan,0.853294888,1.143231201,0.78782458,1.0,0,0,0,2877844,20.012033264233963,119328.35922,152214.09953399998,540266.072094,167247.546984,236777.457798,1637829.8196369407,"2971764, 2970382, 2970381, 2971764, 2970381, 2971763",0.5000008158304085
2866799,Gayusan,Agno,Pangasinan,0.853294888,1.143231201,0.78782458,0.0,0,0,0,2877844,21.28411003419197,0.0,0.0,0.0,0.0,0.0,3716372.509708642,"2971766, 2971767, 2970383, 2970384",0.4999710554574749
2866800,Baruan,Agno,Pangasinan,0.926651032,1.173055376,0.762977794,0.0,0,0,0,2877844,22.08039347096833,0.0,0.0,0.0,0.0,0.0,870053.1794271469,"2971767, 2971768, 2970384, 2970385",0.49988161039731194
