,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,Neighbors,HCFAI,Cluster
0,2865422,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0,0,0,0,0,31.2316575050354,0.934143909,1.178482135,1.166831299,1,0,0,0,2877844,29.8475336000358,"2865422, 2866804",0.50619036,0
1,2866789,Macaboboni,Agno,Pangasinan,1.14706110511815,0.556494785515981,4.09610551915665,1.51805762879547,2.01398145184158,130.432306587696,0.734486955,1.099466392,1.180280558,1,0,0,0,2877844,11.0422240311983,"2866789, 2866790",0.51470697,0
2,2866790,Macaboboni,Agno,Pangasinan,0,0,0,0,0,216.66677069664,0.734486955,1.099466392,1.180280558,0,0,0,0,2877844,11.3921272791259,"2866790, 2866791",0.39782283,0
3,2866791,Macaboboni,Agno,Pangasinan,0,0,0,0,0,326.184777677059,0.734486955,1.099466392,1.180280558,0,0,0,0,2877844,12.1228216310437,2866791,0.39783084,0
4,2866795,Aloleng,Agno,Pangasinan,8.135755,5.317485,31.90492,11.08696,14.91555,57.5829536914825,1.089601628,1.154037078,1.221724545,0,0,0,1,2877844,15.8368107500018,2866795,0.42140958,0
5,2866796,Magsaysay,Agno,Pangasinan,0,0,0,0,0,0.308994175717419,0.904484395,0.270884752,1.119130326,0,0,0,0,2877844,16.6852620157218,2866796,0.4170609,0
6,2866797,Tupa,Agno,Pangasinan,0,0,0,0,0,11.2930190563201,0.838775211,1.100792476,1.080508884,1,0,0,0,2877844,18.2653600676161,2866797,0.5238559,0
7,2866798,Gayusan,Agno,Pangasinan,9.16923,11.696181,41.5142209999999,12.851356,18.194057,125.85137695074,0.853294888,1.143231201,1.233991516,1,0,0,0,2877844,20.0120332642339,"2866798, 2866798",0.501337,0
8,2866799,Gayusan,Agno,Pangasinan,0,0,0,0,0,285.567274451255,0.853294888,1.143231201,1.233991516,1,0,0,0,2877844,21.2841100341919,"2866799, 2866798, 2866798",0.5013333,0
9,2866800,Baruan,Agno,Pangasinan,0,0,0,0,0,66.8551697731018,0.926651032,1.173055376,1.198836075,1,0,0,0,2877844,22.0803934709683,"2866800, 2866800, 2866799",0.502291,0
10,2866802,Baruan,Agno,Pangasinan,6.62236,7.61394,33.99714,11.93441,15.5112,123.308266192674,0.926651032,1.173055376,1.198836075,1,0,0,0,2877844,25.5736624606978,"2866802, 2866803",0.50229096,0
11,2866803,Baruan,Agno,Pangasinan,58.939004,67.764066,302.574545999999,106.216249,138.049679999999,130.941256463527,0.926651032,1.173055376,1.198836075,1,0,0,0,2877844,26.9441106733074,"2866803, 2866802, 2866803, 2866804",0.50183564,0
12,2866804,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0,0,0,0,0,183.13330990076,0.934143909,1.178482135,1.166831299,1,0,0,0,2877844,28.8181186599387,2866804,0.50618404,0
13,2866805,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,72.760408,71.6523359999999,318.742199999999,117.820136,142.566031999999,279.355975091457,0.934143909,1.178482135,1.166831299,1,0,0,0,2877844,30.221487233495,"2866805, 2865422, 2866804, 2866806",0.5044779,0
14,2866806,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,42.7841509999999,41.709865,186.617106999999,67.864623,83.344483,100.893122524023,0.934143909,1.178482135,1.166831299,1,0,0,0,2877844,31.4912028585501,"2866806, 2866805, 2866806",0.50560755,0
15,2866807,Tambobong,Dasol,Pangasinan,3.261738,2.84973,13.596306,4.068594,5.974134,12.5536168217659,0.899873165,1.021503448,1.165183332,1,0,0,0,2877844,33.0384215159745,2866807,0.5119793,0
